Date,Open,High,Low,Close,MA50,MA200
8/26/2022,4198.74 ,4203.04 ,4057.66 ,4057.66 ,3996.19 ,4307.05 
8/29/2022,4034.58 ,4062.99 ,4017.42 ,4030.61 ,4003.46 ,4303.97 
8/30/2022,4041.25 ,4044.98 ,3965.21 ,3986.16 ,4009.69 ,4300.66 
8/31/2022,4000.67 ,4015.37 ,3954.53 ,3955.00 ,4013.50 ,4297.02 
9/1/2022,3936.73 ,3970.23 ,3903.65 ,3966.85 ,4017.63 ,4293.44 
9/2/2022,3996.39 ,4018.43 ,3906.21 ,3924.26 ,4020.21 ,4289.56 
9/6/2022,3930.89 ,3942.55 ,3886.75 ,3908.19 ,4020.13 ,4285.65 
9/7/2022,3909.43 ,3987.89 ,3906.03 ,3979.87 ,4021.73 ,4282.03 
9/8/2022,3959.94 ,4010.50 ,3944.81 ,4006.18 ,4025.42 ,4278.57 
9/9/2022,4022.94 ,4076.81 ,4022.94 ,4067.36 ,4030.39 ,4275.49 
9/12/2022,4083.67 ,4119.28 ,4083.67 ,4110.41 ,4036.89 ,4272.59 
9/13/2022,4037.12 ,4037.12 ,3921.28 ,3932.69 ,4039.04 ,4268.75 
9/14/2022,3940.73 ,3961.94 ,3912.18 ,3946.01 ,4041.33 ,4265.51 
9/15/2022,3932.41 ,3959.14 ,3888.28 ,3901.35 ,4042.46 ,4261.74 
9/16/2022,3880.95 ,3880.95 ,3837.08 ,3873.33 ,4041.87 ,4258.27 
9/19/2022,3849.91 ,3900.45 ,3838.50 ,3899.89 ,4041.88 ,4255.20 
9/20/2022,3875.23 ,3876.01 ,3827.54 ,3855.93 ,4041.91 ,4251.60 
9/21/2022,3871.40 ,3907.07 ,3789.49 ,3789.93 ,4041.34 ,4247.85 
9/22/2022,3782.36 ,3790.90 ,3749.45 ,3757.99 ,4040.46 ,4243.68 
9/23/2022,3727.14 ,3727.14 ,3647.47 ,3693.23 ,4038.52 ,4238.72 
9/26/2022,3682.72 ,3715.67 ,3644.76 ,3655.04 ,4034.35 ,4233.49 
